Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Buy Product,,,,2022-02-16 18:48:56,2022-02-16 18:49:01,5.294s,ERROR
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 18:48:59,2022-02-16 18:49:00,1.653s,ERROR
com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory,,,,2022-02-16 18:49:00,2022-02-16 18:49:00,0.003s,PASSED
driver = MobileDriverFactory.getDriver(),,,,2022-02-16 18:49:00,2022-02-16 18:49:00,0.005s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 18:49:01,2022-02-16 18:49:01,0.290s,ERROR
com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory,,,,2022-02-16 18:49:01,2022-02-16 18:49:01,0.003s,PASSED
driver = MobileDriverFactory.getDriver(),,,,2022-02-16 18:49:01,2022-02-16 18:49:01,0.006s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 18:49:01,2022-02-16 18:49:01,0.036s,ERROR
com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory,,,,2022-02-16 18:49:01,2022-02-16 18:49:01,0.001s,PASSED
driver = MobileDriverFactory.getDriver(),,,,2022-02-16 18:49:01,2022-02-16 18:49:01,0.001s,PASSED
