Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Buy Product,,,,2022-02-16 17:19:02,2022-02-16 17:24:37,5m - 35.170s,FAILED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 17:19:05,2022-02-16 17:20:37,1m - 31.413s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 17:19:07,2022-02-16 17:19:48,40.534s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-16 17:19:48,2022-02-16 17:19:50,2.026s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-16 17:19:50,2022-02-16 17:20:21,30.931s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-16 17:20:21,2022-02-16 17:20:36,15.367s,PASSED
closeApplication(),,,,2022-02-16 17:20:36,2022-02-16 17:20:37,0.870s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 17:20:37,2022-02-16 17:22:37,1m - 59.823s,FAILED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 17:20:37,2022-02-16 17:21:05,27.785s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-16 17:21:05,2022-02-16 17:21:07,2.006s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-16 17:21:07,2022-02-16 17:21:52,44.889s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-16 17:21:52,2022-02-16 17:22:37,45.065s,FAILED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 17:22:37,2022-02-16 17:24:37,2m - 0.389s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 17:22:37,2022-02-16 17:22:59,22.356s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-16 17:22:59,2022-02-16 17:23:01,2.014s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-16 17:23:01,2022-02-16 17:24:20,1m - 18.102s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-16 17:24:20,2022-02-16 17:24:37,17.247s,PASSED
closeApplication(),,,,2022-02-16 17:24:37,2022-02-16 17:24:37,0.647s,PASSED
