Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Buy Product,,,,2022-02-16 19:11:47,2022-02-16 19:14:42,2m - 54.850s,FAILED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 19:11:51,2022-02-16 19:13:04,1m - 13.402s,FAILED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 19:11:52,2022-02-16 19:12:23,30.827s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-16 19:12:23,2022-02-16 19:12:25,2.026s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-16 19:12:25,2022-02-16 19:13:04,38.715s,FAILED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 19:13:04,2022-02-16 19:13:53,48.629s,FAILED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 19:13:04,2022-02-16 19:13:53,48.542s,FAILED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 19:13:53,2022-02-16 19:14:42,49.107s,FAILED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 19:13:53,2022-02-16 19:14:42,49.077s,FAILED
