Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Buy Product,,,,2022-02-16 19:20:13,2022-02-16 19:25:34,5m - 21.330s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 19:20:16,2022-02-16 19:21:42,1m - 26.138s,PASSED
"startApplication(""C:\Users\Lenovo\Katalon Studio\Sauce Labs Mobile Test\Android.SauceLabs.Mobile.Sample.app.2.7.1.apk"", false)",,,,2022-02-16 19:20:17,2022-02-16 19:20:39,22.058s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 19:20:39,2022-02-16 19:20:49,9.573s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-16 19:20:49,2022-02-16 19:20:51,2.027s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-16 19:20:51,2022-02-16 19:21:25,34.107s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-16 19:21:25,2022-02-16 19:21:41,15.878s,PASSED
closeApplication(),,,,2022-02-16 19:21:41,2022-02-16 19:21:42,0.932s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 19:21:42,2022-02-16 19:23:20,1m - 38.277s,PASSED
"startApplication(""C:\Users\Lenovo\Katalon Studio\Sauce Labs Mobile Test\Android.SauceLabs.Mobile.Sample.app.2.7.1.apk"", false)",,,,2022-02-16 19:21:42,2022-02-16 19:22:01,18.755s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 19:22:01,2022-02-16 19:22:05,4.024s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-16 19:22:05,2022-02-16 19:22:07,2.007s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-16 19:22:07,2022-02-16 19:22:59,52.195s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-16 19:22:59,2022-02-16 19:23:20,20.505s,PASSED
closeApplication(),,,,2022-02-16 19:23:20,2022-02-16 19:23:20,0.685s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 19:23:20,2022-02-16 19:25:34,2m - 13.620s,PASSED
"startApplication(""C:\Users\Lenovo\Katalon Studio\Sauce Labs Mobile Test\Android.SauceLabs.Mobile.Sample.app.2.7.1.apk"", false)",,,,2022-02-16 19:23:20,2022-02-16 19:23:42,22.009s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 19:23:42,2022-02-16 19:23:49,6.471s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-16 19:23:49,2022-02-16 19:23:51,2.011s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-16 19:23:51,2022-02-16 19:25:15,1m - 24.225s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-16 19:25:15,2022-02-16 19:25:33,18.112s,PASSED
closeApplication(),,,,2022-02-16 19:25:33,2022-02-16 19:25:34,0.774s,PASSED
