Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Buy Product,,,,2022-02-18 00:37:30,2022-02-18 00:42:21,4m - 50.542s,FAILED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-18 00:37:33,2022-02-18 00:38:53,1m - 20.456s,FAILED
"startApplication(""C:\Users\Lenovo\Katalon Studio\Sauce Labs Mobile Test\Android.SauceLabs.Mobile.Sample.app.2.7.1.apk"", false)",,,,2022-02-18 00:37:34,2022-02-18 00:37:57,22.486s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-18 00:37:57,2022-02-18 00:38:04,6.972s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-18 00:38:04,2022-02-18 00:38:06,2.025s,PASSED
"callTestCase(findTestCase(""TC - 002 - Product""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-18 00:38:06,2022-02-18 00:38:53,47.638s,FAILED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-18 00:38:53,2022-02-18 00:40:15,1m - 21.174s,PASSED
"startApplication(""C:\Users\Lenovo\Katalon Studio\Sauce Labs Mobile Test\Android.SauceLabs.Mobile.Sample.app.2.7.1.apk"", false)",,,,2022-02-18 00:38:54,2022-02-18 00:39:09,15.497s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-18 00:39:09,2022-02-18 00:39:14,4.695s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-18 00:39:14,2022-02-18 00:39:16,2.020s,PASSED
"callTestCase(findTestCase(""TC - 002 - Product""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-18 00:39:16,2022-02-18 00:39:58,42.557s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-18 00:39:58,2022-02-18 00:40:14,15.425s,PASSED
closeApplication(),,,,2022-02-18 00:40:14,2022-02-18 00:40:15,0.896s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-18 00:40:15,2022-02-18 00:42:21,2m - 6.058s,PASSED
"startApplication(""C:\Users\Lenovo\Katalon Studio\Sauce Labs Mobile Test\Android.SauceLabs.Mobile.Sample.app.2.7.1.apk"", false)",,,,2022-02-18 00:40:15,2022-02-18 00:40:34,19.295s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-18 00:40:34,2022-02-18 00:40:39,4.541s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-18 00:40:39,2022-02-18 00:40:41,2.013s,PASSED
"callTestCase(findTestCase(""TC - 002 - Product""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-18 00:40:41,2022-02-18 00:42:01,1m - 20.609s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-18 00:42:01,2022-02-18 00:42:20,18.889s,PASSED
closeApplication(),,,,2022-02-18 00:42:20,2022-02-18 00:42:21,0.694s,PASSED
