Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Buy Product,,,,2022-02-16 18:08:05,2022-02-16 18:11:12,3m - 6.940s,FAILED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 18:08:08,2022-02-16 18:09:31,1m - 22.690s,PASSED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 18:08:09,2022-02-16 18:08:42,32.807s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-02-16 18:08:42,2022-02-16 18:08:44,2.033s,PASSED
"callTestCase(findTestCase(""TC - 002 - Products""), [""Total"":Total, ""Item0"":Item0, ""Item1"":Item1, ""Item2"":Item2, ""Item3"":Item3, ""Item4"":Item4, ""Item5"":Item5], STOP_ON_FAILURE)",,,,2022-02-16 18:08:44,2022-02-16 18:09:14,30.153s,PASSED
"callTestCase(findTestCase(""TC - 003 - Checkout""), [""FirstName"":FirstName, ""LastName"":LastName, ""Pos"":Pos], STOP_ON_FAILURE)",,,,2022-02-16 18:09:14,2022-02-16 18:09:31,16.249s,PASSED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 18:09:31,2022-02-16 18:10:23,52.351s,FAILED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 18:09:31,2022-02-16 18:10:23,52.250s,FAILED
,,,,,,,
Test Cases/TC - 000 - Swag Labs Master,,,,2022-02-16 18:10:23,2022-02-16 18:11:12,48.678s,FAILED
"callTestCase(findTestCase(""TC - 001 - Login""), [:], STOP_ON_FAILURE)",,,,2022-02-16 18:10:23,2022-02-16 18:11:12,48.650s,FAILED
